"Time (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets"
0,99.1,15289,7491.17,0.59,0
5,595,79971,11145.2,0.87,206
10,607.9,80424,11130.8,0.87,206
16,600.6,80500,11126,0.87,206
21,600.6,80517,11134,0.87,206
26,600.8,80699,11108.1,0.87,204
31,601.2,80707,11187.7,0.87,206
37,594.1,80698,11343.6,0.89,200
42,607.7,80701,11361,0.89,197
47,607.3,80862,11374.5,0.89,206
52,606.7,80845,11346.7,0.89,194
58,607.1,80943,11334.1,0.89,204
63,614,81015,11331.4,0.89,205
68,600.6,81027,11331,0.89,199
73,600.8,81082,11315.7,0.88,206
79,582.6,81091,11126.9,0.87,200
84,600.6,81074,11015.1,0.86,204
89,593.9,81137,11014.1,0.86,204
94,607.1,81143,11022,0.86,206
100,587.6,81155,11021.6,0.86,197
105,601,81151,11054.1,0.86,201
110,606.7,81176,11106.8,0.87,205
115,607.3,81319,11100.1,0.87,203
121,293.3,81344,1412.24,0.11,205
