tool,exp_name,vus,duration,iterations,results_path,rps,disable_keepalive,avg_cpu,avg_memory,avg_bandwidth,avg_bandwidth_utilization,avg_open_sockets
k6,k6-1,500,300,,experiments/k6/k6-1/results.csv,169332.523538,False,2403.9784615384615,5139452.8,157059.01646153847,12.270307692307691,483.6923076923077
k6,k6-2,500,300,,experiments/k6/k6-2/results.csv,170897.537883,False,2409.486153846154,5181887.569230769,158487.95015384615,12.381384615384615,483.3076923076923
k6,k6-3,1,120,,experiments/k6/k6-3/results.csv,1673.031945,False,80.89166666666667,56696.833333333336,1681.38875,0.13166666666666668,0.875
k6,k6-4,2,120,,experiments/k6/k6-4/results.csv,4223.964344,False,157.77083333333334,84024.83333333333,4240.526666666667,0.3316666666666666,1.875
k6,k6-5,4,120,,experiments/k6/k6-5/results.csv,10020.032479,False,289.1791666666666,146713.83333333334,10064.144999999999,0.7866666666666666,3.7083333333333335
k6,k6-6,8,120,,experiments/k6/k6-6/results.csv,22655.490813,False,606.5041666666667,286638.3333333333,22738.512499999997,1.7770833333333333,7.166666666666667
k6,k6-7,16,120,,experiments/k6/k6-7/results.csv,43779.077299,False,1306.9708333333333,508302.6666666667,43857.35083333333,3.42625,14.916666666666666
k6,k6-8,32,120,,experiments/k6/k6-8/results.csv,131395.412983,False,1940.744,1541052.64,126885.484,9.9132,29.28
k6,k6-9,64,120,,experiments/k6/k6-9/results.csv,216669.794354,False,2933.7961538461536,2562454.153846154,200668.28576923074,15.676538461538463,56.57692307692308
k6,k6-10,128,120,,experiments/k6/k6-10/results.csv,170279.152034,False,2394.3076923076924,2044722.4615384615,158002.5673076923,12.344615384615386,122.46153846153847
k6,k6-11,256,120,,experiments/k6/k6-11/results.csv,170460.438123,False,2411.6846153846154,2039307.2307692308,158207.00653846154,12.360384615384616,240.69230769230768
k6,k6-12,512,120,,experiments/k6/k6-12/results.csv,168834.704038,False,2432.5038461538466,2098300.153846154,156512.85692307694,12.227307692307692,483.46153846153845
k6,k6-13,1024,120,,experiments/k6/k6-13/results.csv,166750.610143,False,2551.338461538461,2170052.923076923,154529.11807692307,12.071923076923078,970.1153846153846
k6,k6-14,2048,120,,experiments/k6/k6-14/results.csv,164390.263923,False,2695.942307692307,2374042.6153846155,152241.89269230768,11.895,1938.6538461538462
k6,k6-15,8,120,,experiments/k6/k6-15/results.csv,11104.999382,True,637.5,164611.5,16192.337083333332,1.2654166666666666,0.041666666666666664
